Season_id,Rank,Player_id,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
6,1,849,25,MIL,85,962,1010,0.952,63,30.4,29.5,13.6,5.6,1.0,1.0,0.553,0.304,0.633,11.1,0.279,antetgi01
6,2,755,35,LAL,16,753,1010,0.746,67,34.6,25.3,7.8,10.2,1.2,0.5,0.493,0.348,0.693,9.8,0.204,jamesle01
6,3,209,30,HOU,0,367,1010,0.363,68,36.5,34.3,6.6,7.5,1.8,0.9,0.444,0.355,0.865,13.1,0.254,hardeja01
6,4,1177,20,DAL,0,200,1010,0.198,61,33.6,28.8,9.4,8.8,1.0,0.2,0.463,0.316,0.758,8.8,0.207,doncilu01
6,5,726,28,LAC,0,168,1010,0.166,57,32.4,27.1,7.1,4.9,1.8,0.6,0.47,0.378,0.886,8.7,0.226,leonaka01
6,6,428,26,LAL,0,82,1010,0.081,62,34.4,26.1,9.3,3.2,1.5,2.3,0.503,0.33,0.846,11.1,0.25,davisan02
6,7,604,34,OKC,0,26,1010,0.026,70,31.5,17.6,5.0,6.7,1.6,0.2,0.489,0.365,0.907,8.9,0.193,paulch01
6,8,854,29,POR,0,23,1010,0.023,66,37.5,30.0,4.3,8.0,1.1,0.3,0.463,0.401,0.888,11.6,0.225,lillada01
6,9,1178,24,DEN,0,18,1010,0.018,73,32.0,19.9,9.7,7.0,1.2,0.6,0.528,0.314,0.817,9.8,0.202,jokicni01
6,10,695,25,TOR,0,17,1010,0.017,60,35.2,22.9,7.3,3.5,1.0,0.9,0.453,0.359,0.792,5.4,0.123,siakapa01
6,11,586,30,MIA,0,9,1010,0.009,58,33.8,19.9,6.7,6.0,1.8,0.6,0.455,0.244,0.834,9.0,0.221,butleji01
6,12,103,21,BOS,0,1,1010,0.001,66,34.3,23.4,7.0,3.0,1.4,0.9,0.45,0.403,0.812,6.9,0.146,tatumja01
5,1,1178,25,DEN,91,971,1010,0.961,72,34.6,26.4,10.8,8.3,1.3,0.7,0.566,0.388,0.868,15.6,0.301,jokicni01
5,2,1020,26,PHI,1,586,1010,0.58,51,31.1,28.5,10.6,2.8,1.0,1.4,0.513,0.377,0.859,8.8,0.266,embiijo01
5,3,588,32,GSW,5,453,1010,0.449,63,34.2,32.0,5.5,5.8,1.2,0.1,0.482,0.421,0.916,9.0,0.201,curryst01
5,4,849,26,MIL,1,348,1010,0.345,61,33.0,28.1,11.0,5.9,1.2,1.2,0.569,0.303,0.685,10.2,0.244,antetgi01
5,5,604,35,PHO,2,139,1010,0.138,70,31.4,16.4,4.5,8.9,1.4,0.3,0.499,0.395,0.934,9.2,0.201,paulch01
5,6,1177,21,DAL,0,42,1010,0.042,66,34.3,27.7,8.0,8.6,1.0,0.5,0.479,0.35,0.73,7.7,0.163,doncilu01
5,7,854,30,POR,0,38,1010,0.038,67,35.8,28.8,4.2,7.5,0.9,0.3,0.451,0.391,0.928,10.4,0.209,lillada01
5,8,889,26,NYK,0,20,1010,0.02,71,37.6,24.1,10.2,6.0,0.9,0.3,0.456,0.411,0.811,7.8,0.14,randlju01
5,9,573,32,TOT,1,10,1010,0.01,50,25.6,14.7,2.6,4.2,1.0,0.4,0.47,0.388,0.866,3.1,0.118,rosede01
5,10,885,28,UTA,0,8,1010,0.008,71,30.8,14.3,13.5,1.3,0.6,2.7,0.675,0.0,0.623,11.3,0.248,goberru01
5,11,493,32,WAS,0,5,1010,0.005,65,36.4,22.2,11.5,11.7,1.4,0.4,0.439,0.315,0.656,3.7,0.075,westbru01
5,12,172,24,PHI,0,3,1010,0.003,58,32.4,14.3,7.2,6.9,1.6,0.6,0.557,0.3,0.613,6.0,0.153,simmobe01
5,13T,209,31,TOT,0,1,1010,0.001,44,36.6,24.6,7.9,10.8,1.2,0.8,0.466,0.362,0.861,7.0,0.208,hardeja01
5,13T,755,36,LAL,0,1,1010,0.001,45,33.4,25.0,7.7,7.8,1.1,0.6,0.513,0.365,0.698,5.6,0.179,jamesle01
5,13T,726,29,LAC,0,1,1010,0.001,52,34.1,24.8,6.5,5.2,1.6,0.4,0.512,0.398,0.885,8.8,0.238,leonaka01
4,1,1178,26,DEN,65,875,1000,0.875,74,33.5,27.1,13.8,7.9,1.5,0.9,0.583,0.337,0.81,15.2,0.296,jokicni01
4,2,1020,27,PHI,26,706,1000,0.706,68,33.8,30.6,11.7,4.2,1.1,1.5,0.499,0.371,0.814,12.0,0.252,embiijo01
4,3,849,27,MIL,9,595,1000,0.595,67,32.9,29.9,11.6,5.8,1.1,1.4,0.553,0.293,0.722,12.9,0.281,antetgi01
4,4,1040,25,PHO,0,216,1000,0.216,68,34.5,26.8,5.0,4.8,1.1,0.4,0.466,0.383,0.868,7.6,0.156,bookede01
4,5,1177,22,DAL,0,146,1000,0.146,65,35.4,28.4,9.1,8.7,1.2,0.6,0.457,0.353,0.744,7.6,0.159,doncilu01
4,6,103,23,BOS,0,43,1000,0.043,76,35.9,26.9,8.0,4.4,1.0,0.6,0.453,0.353,0.853,9.6,0.169,tatumja01
4,7,790,22,MEM,0,10,1000,0.01,57,33.1,27.4,5.7,6.7,1.2,0.4,0.493,0.344,0.761,6.7,0.171,moranja01
4,8,588,33,GSW,0,4,1000,0.004,64,34.5,25.5,5.2,6.3,1.3,0.4,0.437,0.38,0.923,8.0,0.173,curryst01
4,9,604,36,PHO,0,2,1000,0.002,65,32.9,14.7,4.4,10.8,1.9,0.3,0.493,0.317,0.837,9.4,0.21,paulch01
4,10T,333,32,CHI,0,1,1000,0.001,76,36.1,27.9,5.2,4.9,0.9,0.3,0.504,0.352,0.877,8.8,0.154,derozde01
4,10T,190,33,BRK,0,1,1000,0.001,55,37.2,29.9,7.4,6.4,0.9,0.9,0.518,0.383,0.91,8.4,0.198,duranke01
4,10T,755,37,LAL,0,1,1000,0.001,56,37.2,30.3,8.2,6.2,1.3,1.1,0.524,0.359,0.756,7.5,0.172,jamesle01
3,1,1020,28,PHI,73,915,1000,0.915,66,34.6,33.1,10.2,4.2,1.0,1.7,0.548,0.33,0.857,12.3,0.259,embiijo01
3,2,1178,27,DEN,15,674,1000,0.674,69,33.7,24.5,11.8,9.8,1.3,0.7,0.632,0.383,0.822,14.9,0.308,jokicni01
3,3,849,28,MIL,12,606,1000,0.606,63,32.1,31.1,11.8,5.7,0.8,0.8,0.553,0.275,0.645,8.6,0.204,antetgi01
3,4,103,24,BOS,0,280,1000,0.28,74,36.9,30.1,8.8,4.6,1.1,0.7,0.466,0.35,0.854,10.5,0.185,tatumja01
3,5,745,24,OKC,0,46,1000,0.046,68,35.5,31.4,4.8,5.5,1.6,1.0,0.51,0.345,0.905,11.4,0.226,gilgesh01
3,6,375,26,CLE,0,30,1000,0.03,68,35.8,28.3,4.3,4.4,1.5,0.4,0.484,0.386,0.867,8.9,0.176,mitchdo01
3,7,707,26,SAC,0,27,1000,0.027,79,34.6,19.1,12.3,7.3,0.8,0.5,0.615,0.373,0.742,12.6,0.221,sabondo01
3,8,1177,23,DAL,0,10,1000,0.01,66,36.2,32.4,8.6,8.0,1.4,0.5,0.496,0.342,0.742,10.2,0.204,doncilu01
3,9,588,34,GSW,0,5,1000,0.005,56,34.7,29.4,6.1,6.3,0.9,0.4,0.493,0.427,0.915,7.8,0.192,curryst01
3,10,586,33,MIA,0,3,1000,0.003,64,33.4,22.9,5.9,5.3,1.8,0.3,0.539,0.35,0.85,12.3,0.277,butleji01
3,11,1085,25,SAC,0,2,1000,0.002,73,33.4,25.0,4.2,6.1,1.1,0.3,0.512,0.324,0.78,7.4,0.146,foxde01
3,12T,453,26,NYK,0,1,1000,0.001,68,35.0,24.0,3.5,6.2,0.9,0.2,0.491,0.416,0.829,8.7,0.175,brunsja01
3,12T,790,23,MEM,0,1,1000,0.001,61,31.9,26.2,5.9,8.1,1.1,0.3,0.466,0.307,0.748,6.0,0.148,moranja01
2,1,1178,28,DEN,79,926,990,0.935,79,34.6,26.4,12.4,9.0,1.4,0.9,0.583,0.359,0.817,17.0,0.299,jokicni01
2,2,745,25,OKC,15,640,990,0.646,75,34.0,30.1,5.5,6.2,2.0,0.9,0.535,0.353,0.874,14.6,0.275,gilgesh01
2,3,1177,24,DAL,4,566,990,0.572,70,37.5,33.9,9.2,9.8,1.4,0.5,0.487,0.382,0.786,12.0,0.22,doncilu01
2,4,849,29,MIL,1,192,990,0.194,73,35.2,30.4,11.5,6.5,1.2,1.1,0.611,0.274,0.657,13.2,0.246,antetgi01
2,5,453,27,NYK,0,142,990,0.143,77,35.4,28.7,3.6,6.7,0.9,0.2,0.479,0.401,0.847,11.2,0.198,brunsja01
2,6,103,25,BOS,0,86,990,0.087,74,35.7,26.9,8.1,4.9,1.0,0.6,0.471,0.376,0.833,10.4,0.189,tatumja01
2,7,883,22,MIN,0,18,990,0.018,79,35.1,25.9,5.4,5.1,1.3,0.5,0.461,0.357,0.836,7.5,0.13,edwaran01
2,8,707,27,SAC,0,3,990,0.003,82,35.7,19.4,13.7,8.2,0.9,0.6,0.594,0.379,0.704,12.6,0.206,sabondo01
2,9,190,35,PHO,0,1,990,0.001,75,37.2,27.1,6.6,5.0,0.9,1.2,0.523,0.413,0.856,8.3,0.142,duranke01
