id,Player,Pos,Ht,Wt,Birth Date,Birth,College
300,Grant Riller,PG,6-2,190,"February 8, 1997",us US,College of Charleston
301,Cody Zeller,C,6-11,240,"October 5, 1992",us US,Indiana
302,Dwayne Bacon,SG,6-6,221,"August 30, 1995",us US,Florida State
303,Nicolas Batum,SF,6-8,230,"December 14, 1988",fr FR,
304,Joe Chealey,PG,6-3,190,"November 1, 1995",us US,College of Charleston
305,Willy Hernangomez,C,6-11,250,"May 27, 1994",es ES,
306,Michael Kidd-Gilchrist,PF,6-6,232,"September 26, 1993",us US,Kentucky
307,Marvin Williams,PF,6-8,237,"June 19, 1986",us US,UNC
308,Jeremy Lamb,SG,6-5,180,"May 30, 1992",us US,UConn
309,Shelvin Mack,PG,6-3,203,"April 22, 1990",us US,Butler
310,J.P. Macura,SG,6-5,203,"June 5, 1995",us US,Xavier
311,Tony Parker,PG,6-2,185,"May 17, 1982",be BE,
312,Lonzo Ball,PG,6-6,190,"October 27, 1997",us US,UCLA
313,Matas Buzelis,SF,6-10,209,"October 13, 2004",us US,
314,Zach Collins,PF,6-11,250,"November 19, 1997",us US,Gonzaga
315,Ayo Dosunmu,SG,6-5,200,"January 17, 2000",us US,Illinois
316,Chris Duarte,SG,6-6,190,"June 13, 1997",do DO,Oregon
317,Josh Giddey,PG,6-8,210,"October 10, 2002",au AU,
318,Talen Horton-Tucker,SG,6-4,234,"November 25, 2000",us US,Iowa State
319,Tre Jones,PG,6-1,185,"January 8, 2000",us US,Duke
320,Zach LaVine,SF,6-5,200,"March 10, 1995",us US,UCLA
321,E.J. Liddell,PF,6-7,240,"December 18, 2000",us US,Ohio State
322,Emanuel Miller,PF,6-7,215,"June 19, 2000",ca CA,"Texas A&M, TCU"
323,Julian Phillips,SF,6-8,198,"November 5, 2003",us US,Tennessee
324,Adama Sanogo,C,6-9,245,"February 12, 2002",ml ML,UConn
325,Jalen Smith,C,6-10,215,"March 16, 2000",us US,Maryland
326,Dalen Terry,SG,6-7,195,"July 12, 2002",us US,Arizona
327,Nikola Vucevic,C,6-10,260,"October 24, 1990",ch CH,USC
328,Coby White,SG,6-5,195,"February 16, 2000",us US,UNC
329,Patrick Williams,PF,6-7,215,"August 26, 2001",us US,Florida State
330,Jahmir Young,PG,6-2,185,"October 7, 2000",us US,"UNC Charlotte, Maryland"
331,Onuralp Bitim,SG,6-6,215,"March 31, 1999",tr TR,
332,Alex Caruso,SG,6-5,186,"February 28, 1994",us US,Texas A&M
333,DeMar DeRozan,SF,6-6,220,"August 7, 1989",us US,USC
334,Henri Drell,SF,6-9,187,"April 25, 2000",ee EE,
335,Andrew Funk,SG,6-5,200,"September 21, 1999",us US,"Bucknell, Penn State"
336,Terry Taylor,PF,6-5,230,"September 23, 1999",us US,Austin Peay State University
337,Patrick Beverley,PG,6-2,180,"July 12, 1988",us US,Arkansas
338,Tony Bradley,C,6-10,248,"January 8, 1998",us US,UNC
339,Carlik Jones,PG,6-1,185,"December 23, 1997",us US,"Radford, Louisville"
340,Derrick Jones Jr.,PF,6-5,210,"February 15, 1997",us US,UNLV
341,Marko Simonovic,C,6-11,216,"October 15, 1999",me ME,
342,Jordan Bell,C,6-8,216,"January 7, 1995",us US,Oregon
343,Troy Brown Jr.,SF,6-6,215,"July 28, 1999",us US,Oregon
344,Devon Dotson,PG,6-2,185,"August 2, 1999",us US,Kansas
345,Mac McClung,PG,6-2,185,"January 6, 1999",us US,"Georgetown, Texas Tech"
346,Alfonzo McKinnie,SF,6-7,215,"September 17, 1992",us US,Green Bay
347,Matt Thomas,SG,6-4,190,"August 4, 1994",us US,Iowa State
348,Al-Farouq Aminu,PF,6-8,220,"September 21, 1990",us US,Wake Forest
349,Ryan Arcidiacono,PG,6-3,195,"March 26, 1994",us US,Villanova
350,Wendell Carter Jr.,C,6-10,270,"April 16, 1999",us US,Duke
351,Cristiano Felicio,C,6-11,270,"July 7, 1992",br BR,
352,Daniel Gafford,C,6-10,234,"October 1, 1998",us US,Arkansas
353,Chandler Hutchison,SF,6-6,210,"April 26, 1996",us US,Boise State
354,Lauri Markkanen,PF,7-0,240,"May 22, 1997",fi FI,Arizona
355,Adam Mokoka,SG,6-4,190,"July 18, 1998",fr FR,
356,Otto Porter Jr.,SF,6-8,198,"June 3, 1993",us US,Georgetown
357,Tomas Satoransky,SG,6-7,210,"October 30, 1991",cz CZ,
358,Denzel Valentine,SG,6-4,220,"November 16, 1993",us US,Michigan State
359,Thaddeus Young,PF,6-8,235,"June 21, 1988",us US,Georgia Tech
360,Max Strus,SF,6-5,215,"March 28, 1996",us US,"Lewis (IL), DePaul"
361,Rawle Alkins,SG,6-5,225,"October 29, 1997",us US,Arizona
362,Antonio Blakeney,SG,6-4,192,"October 4, 1996",us US,LSU
363,Walt Lemon Jr.,PG,6-3,180,"July 26, 1992",us US,Bradley
364,Robin Lopez,C,7-1,281,"April 1, 1988",us US,Stanford
365,Cameron Payne,PG,6-3,183,"August 8, 1994",us US,Murray State
366,Bobby Portis,PF,6-10,250,"February 10, 1995",us US,Arkansas
367,Brandon Sampson,SG,6-5,184,"May 1, 1997",us US,LSU
368,JaKarr Sampson,SF,6-7,214,"March 20, 1993",us US,St. John's
369,Wayne Selden,SG,6-5,230,"September 30, 1994",us US,Kansas
370,Tyler Ulis,PG,5-10,160,"January 5, 1996",us US,Kentucky
371,Emoni Bates,SF,6-10,170,"January 28, 2004",us US,"Memphis, Eastern Michigan"
372,Darius Garland,PG,6-1,192,"January 26, 2000",us US,Vanderbilt
373,Ty Jerome,SG,6-5,195,"July 8, 1997",us US,Virginia
374,Sam Merrill,SG,6-4,205,"May 15, 1996",us US,Utah State University
375,Donovan Mitchell,SG,6-3,215,"September 7, 1996",us US,Louisville
376,Evan Mobley,PF,6-11,215,"June 18, 2001",us US,USC
377,Chuma Okeke,PF,6-6,229,"August 18, 1998",us US,Auburn
378,Isaac Okoro,SG,6-5,225,"January 26, 2001",us US,Auburn
379,Craig Porter Jr.,PG,6-2,186,"February 26, 2000",us US,"Vincennes University, Wichita State"
380,Nae'Qwan Tomlin,PF,6-10,205,"December 10, 2000",us US,"Monroe Community College, Chipola College, Kansas State, Memphis"
381,Luke Travers,SG,6-8,199,"September 3, 2001",au AU,
382,Jaylon Tyson,SG,6-6,215,"December 2, 2002",us US,"Texas, Texas Tech, California"
383,Dean Wade,PF,6-9,228,"November 20, 1996",us US,Kansas State
384,Isaiah Mobley,PF,6-8,240,"September 24, 1999",us US,USC
385,Pete Nance,PF,6-11,230,"February 19, 2000",us US,"Northwestern, UNC"
386,Mamadi Diakite,C,6-9,228,"January 21, 1997",gn GN,Virginia
387,Danny Green,SG,6-6,215,"June 22, 1987",us US,UNC
388,Kevin Love,PF,6-8,251,"September 7, 1988",us US,UCLA
389,Raul Neto,PG,6-1,180,"May 19, 1992",br BR,
390,Cedi Osman,SF,6-7,230,"April 8, 1995",mk MK,
391,Ricky Rubio,PG,6-2,190,"October 21, 1990",es ES,
392,Tim Frazier,PG,6-0,170,"November 1, 1990",us US,Penn State
393,RJ Nembhard Jr.,SG,6-5,200,"March 22, 1999",us US,TCU
394,Malik Newman,PG,6-3,190,"February 21, 1997",us US,"Mississippi State, Kansas"
395,Kevin Pangos,PG,6-2,179,"January 26, 1993",ca CA,Gonzaga
396,Tre Scott,SF,6-8,225,"November 25, 1996",us US,Cincinnati
397,Collin Sexton,SG,6-3,190,"January 4, 1999",us US,Alabama
398,Quinn Cook,PG,6-1,180,"March 23, 1993",us US,Duke
399,Matthew Dellavedova,PG,6-3,200,"September 8, 1990",au AU,Saint Mary's
400,Damyean Dotson,SG,6-5,210,"May 6, 1994",us US,"Oregon, Houston"
401,Dante Exum,SG,6-5,214,"July 13, 1995",au AU,
402,Yogi Ferrell,PG,6-0,178,"May 9, 1993",us US,Indiana
403,Isaiah Hartenstein,C,7-0,255,"May 5, 1998",us US,
404,Thon Maker,C,7-0,221,"February 25, 1997",ss SS,
405,JaVale McGee,C,7-0,270,"January 19, 1988",us US,Nevada
406,Anderson Varejao,C,6-11,273,"September 28, 1982",br BR,
407,Jordan Clarkson,SG,6-3,194,"June 7, 1992",us US,"Tulsa, Missouri"
408,John Henson,C,6-9,219,"December 28, 1990",us US,UNC
409,Brandon Knight,SG,6-2,182,"December 2, 1991",us US,Kentucky
410,Matt Mooney,SG,6-3,199,"February 7, 1996",us US,"Air Force, South Dakota, Texas Tech"
411,Kevin Porter Jr.,SF,6-4,203,"May 4, 2000",us US,USC
412,Ante Zizic,C,6-10,266,"January 4, 1997",hr HR,
413,Deng Adel,SF,6-7,200,"February 1, 1997",ss SS,Louisville
414,Jaron Blossomgame,SF,6-8,220,"September 16, 1993",us US,Clemson
415,Alec Burks,SG,6-6,214,"July 20, 1991",us US,Colorado
416,Marquese Chriss,PF,6-9,240,"July 2, 1997",us US,Washington
417,Sam Dekker,PF,6-9,230,"May 6, 1994",us US,Wisconsin
418,Channing Frye,C,7-0,255,"May 17, 1983",us US,Arizona
419,Andrew Harrison,PG,6-6,213,"October 28, 1994",us US,Kentucky
420,George Hill,PG,6-4,188,"May 4, 1986",us US,IUPUI
421,John Holland,SF,6-5,205,"November 6, 1988",us US,Boston University
422,Rodney Hood,SG,6-8,208,"October 20, 1992",us US,"Mississippi State, Duke"
423,Jalen Jones,SF,6-7,220,"May 27, 1993",us US,"SMU, Texas A&M"
424,Kyle Korver,PF,6-7,212,"March 17, 1981",us US,Creighton
425,Patrick McCaw,SG,6-7,181,"October 25, 1995",us US,UNLV
426,J.R. Smith,SG,6-6,225,"September 9, 1985",us US,North Carolina A&T
427,Max Christie,SG,6-6,190,"February 10, 2003",us US,Michigan State
428,Anthony Davis,PF,6-10,253,"March 11, 1993",us US,Kentucky
429,Luka Doncic,PG,6-6,230,"February 28, 1999",si SI,
430,Jazian Gortman,PG,6-2,184,"April 14, 2003",us US,
431,Quentin Grimes,SG,6-5,205,"May 8, 2000",us US,"Kansas, Houston"
432,Jaden Hardy,SG,6-4,198,"July 5, 2002",us US,
433,Kylor Kelley,C,7-0,215,"August 26, 1997",us US,Oregon State
434,Maxi Kleber,PF,6-10,240,"January 29, 1992",de DE,
435,Dereck Lively II,C,7-1,230,"February 12, 2004",us US,Duke
436,Naji Marshall,SF,6-7,220,"January 24, 1998",us US,Xavier
437,Dwight Powell,C,6-10,240,"July 20, 1991",ca CA,Stanford
438,Olivier-Maxence Prosper,PF,6-8,230,"July 3, 2002",ca CA,"Clemson, Marquette"
439,Klay Thompson,SF,6-5,215,"February 8, 1990",us US,Washington State
440,Brandon Williams,PG,6-1,190,"November 22, 1999",us US,Arizona
441,Greg Brown III,PF,6-7,205,"September 1, 2001",us US,Texas
442,Dexter Dennis,SG,6-5,210,"February 9, 1999",us US,"Wichita State, Texas A&M"
443,Alex Fudge,SF,6-8,200,"May 6, 2003",us US,"LSU, Florida"
444,Tim Hardaway Jr.,SF,6-5,205,"March 16, 1992",us US,Michigan
445,Richaun Holmes,C,6-10,235,"October 15, 1993",us US,Bowling Green
446,A.J. Lawson,SG,6-6,179,"July 15, 2000",ca CA,South Carolina
447,Reggie Bullock,SF,6-6,205,"March 16, 1991",us US,UNC
448,Facundo Campazzo,PG,5-10,195,"March 23, 1991",ar AR,
449,Chris Silva,PF,6-8,234,"September 19, 1996",ga GA,South Carolina
450,Christian Wood,C,6-8,214,"September 27, 1995",us US,UNLV
451,McKinley Wright IV,PG,6-0,196,"October 25, 1998",us US,Colorado
452,Sterling Brown,SG,6-5,219,"February 10, 1995",us US,SMU
453,Jalen Brunson,SG,6-2,190,"August 31, 1996",us US,Villanova
454,Trey Burke,PG,6-0,185,"November 12, 1992",us US,Michigan
455,Willie Cauley-Stein,C,7-0,240,"August 18, 1993",us US,Kentucky
456,George King,SF,6-6,225,"January 15, 1994",us US,Colorado
457,Boban Marjanovic,C,7-4,290,"August 15, 1988",rs RS,
458,JaQuori McLaughlin,PG,6-4,190,"January 29, 1998",us US,"Oregon State, UC Santa Barbara"
459,Eugene Omoruyi,SF,6-7,244,"February 14, 1997",ng NG,"Rutgers University, Oregon"
460,Moses Wright,PF,6-9,233,"December 23, 1998",us US,Georgia Tech
461,Tyler Bey,SF,6-7,215,"February 10, 1998",us US,Colorado
462,Nate Hinton,SG,6-5,210,"June 8, 1999",us US,Houston
463,Nicolo Melli,PF,6-9,236,"January 26, 1991",it IT,
464,JJ Redick,SG,6-3,200,"June 24, 1984",us US,Duke
465,Tyrell Terry,PG,6-2,160,"September 28, 2000",us US,Stanford
466,J.J. Barea,PG,5-10,180,"June 26, 1984",pr PR,Northeastern University
467,Ryan Broekhoff,SF,6-6,215,"August 23, 1990",au AU,Valparaiso
468,Antonius Cleveland,SG,6-5,195,"February 2, 1994",us US,SE Missouri State
469,Courtney Lee,SG,6-5,215,"October 3, 1985",us US,Western Kentucky
470,Josh Reaves,SF,6-4,214,"June 4, 1997",us US,Penn State
471,Kostas Antetokounmpo,PF,6-10,200,"November 20, 1997",gr GR,Dayton
472,Harrison Barnes,PF,6-8,225,"May 30, 1992",us US,UNC
473,Devin Harris,PG,6-3,185,"February 27, 1983",us US,Wisconsin
474,Daryl Macon,SG,6-2,185,"November 29, 1995",us US,Arkansas
475,Salah Mejri,C,7-2,235,"June 15, 1986",tn TN,
476,Dirk Nowitzki,PF,7-0,245,"June 19, 1978",de DE,
477,Ray Spalding,PF,6-10,215,"March 11, 1997",us US,Louisville
478,Trey Alexander,SG,6-4,185,"May 2, 2003",us US,Creighton
479,Christian Braun,SG,6-6,218,"April 17, 2001",us US,Kansas
480,Vlatko Cancar,PF,6-8,236,"April 10, 1997",si SI,
481,Aaron Gordon,PF,6-8,235,"September 16, 1995",us US,Arizona
482,PJ Hall,C,6-8,245,"February 21, 2002",us US,Clemson
483,Nikola Jokic,C,6-11,284,"February 19, 1995",rs RS,
484,Spencer Jones,SF,6-7,225,"June 14, 2001",us US,Stanford
485,Jamal Murray,PG,6-4,215,"February 23, 1997",ca CA,Kentucky
486,Zeke Nnaji,PF,6-9,240,"January 9, 2001",us US,Arizona
487,Jalen Pickett,SG,6-4,209,"October 22, 1999",us US,"Siena College, Penn State"
488,Michael Porter Jr.,SF,6-10,218,"June 29, 1998",us US,Missouri
489,Dario Saric,C,6-10,225,"April 8, 1994",hr HR,
490,Julian Strawther,SG,6-7,205,"April 18, 2002",us US,Gonzaga
491,Hunter Tyson,PF,6-8,215,"June 13, 2000",us US,Clemson
492,Peyton Watson,SF,6-8,200,"September 11, 2002",us US,UCLA
493,Russell Westbrook,PG,6-4,200,"November 12, 1988",us US,UCLA
494,Kentavious Caldwell-Pope,SG,6-5,204,"February 18, 1993",us US,Georgia
495,Collin Gillespie,PG,6-1,195,"June 25, 1999",us US,Villanova
496,Jay Huff,C,7-1,240,"August 25, 1998",us US,Virginia
497,Reggie Jackson,PG,6-2,208,"April 16, 1990",it IT,Boston College
498,Braxton Key,SF,6-8,230,"February 14, 1997",us US,"Alabama, Virginia"
499,Thomas Bryant,C,6-10,248,"July 31, 1997",us US,Indiana
500,Bones Hyland,PG,6-2,173,"September 14, 2000",us US,VCU
501,Davon Reed,SG,6-5,208,"June 11, 1995",us US,Miami (FL)
502,Jack White,SF,6-7,225,"August 5, 1997",au AU,Duke
503,Will Barton,SG,6-5,181,"January 6, 1991",us US,Memphis
504,Bol Bol,PF,7-3,220,"November 16, 1999",sd SD,Oregon
505,Petr Cornelie,PF,6-11,220,"July 26, 1995",fr FR,
506,DeMarcus Cousins,C,6-10,270,"August 13, 1990",us US,Kentucky
507,Bryn Forbes,SG,6-2,205,"July 23, 1993",us US,Michigan State
508,JaMychal Green,PF,6-8,227,"June 21, 1990",us US,Alabama
509,Markus Howard,SG,5-10,175,"March 3, 1999",us US,Marquette
510,Monte Morris,PG,6-2,183,"June 27, 1995",us US,Iowa State
511,Austin Rivers,SG,6-4,200,"August 1, 1992",us US,Duke
512,Rayjon Tucker,SG,6-3,209,"September 24, 1997",us US,"Florida Gulf Coast, Little Rock"
513,Gary Clark,SF,6-6,225,"November 16, 1994",us US,Cincinnati
514,R.J. Hampton,SG,6-4,175,"February 7, 2001",us US,
515,Gary Harris,SG,6-4,210,"September 14, 1994",us US,Michigan State
516,Greg Whittington,PF,6-8,210,"February 7, 1993",us US,Georgetown
517,Malik Beasley,SG,6-4,187,"November 26, 1996",us US,Florida State
518,Troy Daniels,SG,6-4,200,"July 15, 1991",us US,VCU
519,Jerami Grant,PF,6-7,210,"March 12, 1994",us US,Syracuse
520,Jordan McRae,SG,6-5,179,"March 28, 1991",us US,Tennessee
521,Jarred Vanderbilt,PF,6-8,214,"April 3, 1999",us US,Kentucky
522,DeVaughn Akoon-Purcell,SG,6-6,200,"June 5, 1993",us US,Illinois State
523,Tyler Lydon,PF,6-10,225,"April 9, 1996",us US,Syracuse
524,Trey Lyles,PF,6-9,234,"November 5, 1995",ca CA,Kentucky
525,Thomas Welsh,C,7-0,255,"February 3, 1996",us US,UCLA
526,Nick Young,SG,6-7,210,"June 1, 1985",us US,USC
527,Cade Cunningham,PG,6-6,220,"September 25, 2001",us US,Oklahoma State
528,Jalen Duren,C,6-10,250,"November 18, 2003",us US,Memphis
529,Simone Fontecchio,SF,6-8,209,"December 9, 1995",it IT,
530,Ron Harper Jr.,SF,6-6,245,"April 12, 2000",us US,Rutgers University
531,Tobias Harris,PF,6-8,226,"July 15, 1992",us US,Tennessee
532,Ron Holland,SF,6-8,206,"July 7, 2005",us US,
533,Jaden Ivey,SG,6-4,195,"February 13, 2002",us US,Purdue
534,Daniss Jenkins,PG,6-3,165,"August 17, 2001",us US,"University of the Pacific, Iona College, St. John's"
535,Bobi Klintman,SF,6-9,225,"March 6, 2003",se SE,Wake Forest
536,Paul Reed,C,6-9,210,"June 14, 1999",us US,DePaul
537,Marcus Sasser,PG,6-2,195,"September 21, 2000",us US,Houston
538,Tolu Smith,PF,6-10,254,"July 26, 2000",us US,"Western Kentucky, Mississippi State"
539,Isaiah Stewart,C,6-8,250,"May 22, 2001",us US,Washington
540,Cole Swider,SF,6-9,220,"May 8, 1999",us US,"Villanova, Syracuse"
541,Ausar Thompson,SF,6-7,215,"January 30, 2003",us US,
542,Lindy Waters III,SG,6-6,215,"July 28, 1997",us US,Oklahoma State
543,Marvin Bagley III,C,6-10,235,"March 14, 1999",us US,Duke
544,Buddy Boeheim,SF,6-6,205,"November 11, 1999",us US,Syracuse
545,Bojan Bogdanovic,PF,6-7,226,"April 18, 1989",ba BA,
546,Malcolm Cazalon,SG,6-6,212,"August 27, 2001",fr FR,
547,Isaiah Livers,PF,6-7,230,"July 28, 1998",us US,Michigan
548,Player,Pos,Ht,Wt,Birth Date,Birth,College
549,Chimezie Metu,C,6-9,225,"March 22, 1997",us US,USC
550,Jaylen Nowell,SG,6-4,201,"July 9, 1999",us US,Washington
551,Stanley Umude,SG,6-6,210,"April 12, 1999",us US,"South Dakota, Arkansas"
552,James Wiseman,C,7-0,240,"March 31, 2001",us US,Memphis
553,Hamidou Diallo,SF,6-5,202,"July 31, 1998",us US,Kentucky
554,Cory Joseph,PG,6-2,200,"August 20, 1991",ca CA,Texas
555,Rodney McGruder,SG,6-4,205,"July 29, 1991",us US,Kansas State
556,Cheick Diallo,C,6-8,219,"September 13, 1996",ml ML,Kansas
557,Luka Garza,C,6-10,235,"December 27, 1998",us US,Iowa
558,Frank Jackson,PG,6-3,205,"May 4, 1998",us US,Duke
559,Josh Jackson,SF,6-8,207,"February 10, 1997",us US,Kansas
560,Saben Lee,PG,6-2,183,"June 23, 1999",us US,Vanderbilt
561,Kelly Olynyk,C,6-11,240,"April 19, 1991",ca CA,Gonzaga
562,Jaysean Paige,PG,6-3,205,"July 30, 1994",us US,"College of Southern Idaho, Moberly Area Community College, West Virginia"
563,Trayvon Palmer,SG,6-6,200,"November 13, 1994",us US,"North Dakota State College of Science, Chicago State"
564,Jamorko Pickett,PF,6-9,206,"December 24, 1997",us US,Georgetown
565,Micah Potter,C,6-10,248,"April 6, 1998",us US,"Ohio State, Wisconsin"
566,Justin Robinson,PG,6-1,195,"October 12, 1997",us US,Virginia Tech
567,Deividas Sirvydis,SG,6-8,190,"June 10, 2000",lt LT,
568,Cassius Stanley,SG,6-5,190,"August 18, 1999",us US,Duke
569,Derrick Walton,PG,6-0,189,"April 3, 1995",us US,Michigan
570,Sekou Doumbouya,PF,6-8,230,"December 23, 2000",gn GN,
571,Wayne Ellington,SG,6-4,207,"November 29, 1987",us US,UNC
572,Jahlil Okafor,C,6-10,270,"December 15, 1995",us US,Duke
573,Derrick Rose,PG,6-3,200,"October 4, 1988",us US,Memphis
574,Jordan Bone,PG,6-2,180,"November 5, 1997",us US,Tennessee
575,Luke Kennard,SG,6-5,206,"June 24, 1996",us US,Duke
576,Louis King,SF,6-7,205,"April 6, 1999",us US,Oregon
577,Khyri Thomas,SG,6-3,210,"May 8, 1996",us US,Creighton
578,Jose Calderon,PG,6-3,200,"September 28, 1981",es ES,
579,Stanley Johnson,SF,6-6,242,"May 29, 1996",us US,Arizona
580,Jon Leuer,PF,6-10,228,"May 14, 1989",us US,Wisconsin
581,Zach Lofton,SG,6-4,180,"November 18, 1992",us US,"Illinois State, Texas Southern, New Mexico State"
582,Kalin Lucas,PG,6-1,195,"May 24, 1989",us US,Michigan State
583,Zaza Pachulia,C,6-11,270,"February 10, 1984",ge GE,
584,Glenn Robinson III,SF,6-6,222,"January 8, 1994",us US,Michigan
585,Kyle Anderson,PF,6-9,230,"September 20, 1993",us US,UCLA
586,Jimmy Butler,SF,6-7,230,"September 14, 1989",us US,"Tyler Junior College, Marquette"
587,Yuri Collins,PG,6-0,190,"March 7, 2001",us US,Saint Louis
588,Stephen Curry,PG,6-2,185,"March 14, 1988",us US,Davidson
589,Draymond Green,PF,6-6,230,"March 4, 1990",us US,Michigan State
590,Buddy Hield,SG,6-4,220,"December 17, 1992",bs BS,Oklahoma
591,Trayce Jackson-Davis,C,6-9,245,"February 22, 2000",us US,Indiana
592,Jonathan Kuminga,PF,6-8,210,"October 6, 2002",cd CD,
593,Kevon Looney,C,6-9,222,"February 6, 1996",us US,UCLA
594,De'Anthony Melton,SG,6-2,200,"May 28, 1998",us US,USC
595,Moses Moody,SG,6-5,205,"May 31, 2002",us US,Arkansas
596,Gary Payton II,SG,6-2,190,"December 1, 1992",us US,Oregon State
